Name	Type	County	Population	Area	Area_km	Incorporated
Inglewood	City	Los Angeles	109,673	9.07	23.5	February 7, 1908
Ione	City	Amador	7,918	4.76	12.3	March 23, 1953
Irvine	City	Orange	212,375	66.11	171.2	December 28, 1971
Irwindale	City	Los Angeles	1,422	8.83	22.9	August 6, 1957
Isleton	City	Sacramento	804	0.44	1.1	May 14, 1923
JacksonCounty seat	City	Amador	4,651	3.73	9.7	December 5, 1905
Jurupa Valley	City	Riverside	95,004[10]	43.7	113[10]	July 1, 2011
Kerman	City	Fresno	13,544	3.23	8.4	July 2, 1946
King City	City	Monterey	12,874	3.84	9.9	February 9, 1911
Kingsburg	City	Fresno	11,382	2.83	7.3	May 29, 1908
La Cañada Flintridge	City	Los Angeles	20,246	8.63	22.4	November 30, 1976
La Habra	City	Orange	60,239	7.37	19.1	January 20, 1925
La Habra Heights	City	Los Angeles	5,325	6.16	16.0	December 4, 1978
La Mesa	City	San Diego	57,065	9.08	23.5	February 16, 1912
La Mirada	City	Los Angeles	48,527	7.84	20.3	March 23, 1960
La Palma	City	Orange	15,568	1.81	4.7	October 26, 1955
La Puente	City	Los Angeles	39,816	3.48	9.0	August 1, 1956
La Quinta	City	Riverside	37,467	35.12	91.0	May 1, 1982
La Verne	City	Los Angeles	31,063	8.43	21.8	August 20, 1906
Lafayette	City	Contra Costa	23,893	15.22	39.4	July 29, 1968
Laguna Beach	City	Orange	22,723	8.85	22.9	June 29, 1927
Laguna Hills	City	Orange	30,344	6.67	17.3	December 20, 1991
Laguna Niguel	City	Orange	62,979	14.83	38.4	December 1, 1989
Laguna Woods	City	Orange	16,192	3.12	8.1	March 24, 1999
Lake Elsinore	City	Riverside	51,821	36.21	93.8	April 9, 1888
Lake Forest	City	Orange	77,264	17.82	46.2	December 20, 1991
LakeportCounty seat	City	Lake	4,753	3.06	7.9	April 30, 1888
Lakewood	City	Los Angeles	80,048	9.41	24.4	April 16, 1954
Lancaster	City	Los Angeles	156,633	94.28	244.2	November 22, 1977
Larkspur	City	Marin	11,926	3.03	7.8	March 1, 1908
Lathrop	City	San Joaquin	18,023	21.93	56.8	July 1, 1989
Lawndale	City	Los Angeles	32,769	1.97	5.1	December 28, 1959
Lemon Grove	City	San Diego	25,320	3.88	10.0	July 1, 1977
Lemoore	City	Kings	24,531	8.52	22.1	July 4, 1900
Lincoln	City	Placer	42,819	20.11	52.1	August 7, 1890
Lindsay	City	Tulare	11,768	2.61	6.8	February 28, 1910
Live Oak	City	Sutter	8,392	1.87	4.8	January 22, 1947
Livermore	City	Alameda	80,968	25.17	65.2	April 1, 1876
Livingston	City	Merced	13,058	3.72	9.6	September 11, 1922
Lodi	City	San Joaquin	62,134	13.61	35.2	December 6, 1906
Loma Linda	City	San Bernardino	23,261	7.52	19.5	September 29, 1970
Lomita	City	Los Angeles	20,256	1.91	4.9	June 30, 1964
Lompoc	City	Santa Barbara	42,434	11.60	30.0	August 13, 1888
Long Beach	City	Los Angeles	462,257	50.29	130.3	December 13, 1897
Loomis	Town	Placer	6,430	7.27	18.8	December 17, 1984
Los Alamitos	City	Orange	11,449	4.05	10.5	March 1, 1960
Los Altos	City	Santa Clara	28,976	6.49	16.8	December 1, 1952
Los Altos Hills	Town	Santa Clara	7,922	8.80	22.8	January 27, 1956
Los AngelesCounty seat	City	Los Angeles	3,792,621	468.67	1,213.8	April 4, 1850
Los Banos	City	Merced	35,972	9.99	25.9	May 8, 1907
Los Gatos	Town	Santa Clara	29,413	11.08	28.7	August 10, 1887
Loyalton	City	Sierra	769	0.36	0.93	July 21, 1901
Lynwood	City	Los Angeles	69,772	4.84	12.5	July 21, 1921
MaderaCounty seat	City	Madera	61,416	15.79	40.9	March 27, 1907
Malibu	City	Los Angeles	12,645	19.78	51.2	March 28, 1991
Mammoth Lakes	Town	Mono	8,234	24.87	64.4	August 20, 1984
Manhattan Beach	City	Los Angeles	35,135	3.94	10.2	December 12, 1912
Manteca	City	San Joaquin	67,096	17.73	45.9	June 5, 1918
Maricopa	City	Kern	1,154	1.50	3.9	July 25, 1911
Marina	City	Monterey	19,718	8.88	23.0	November 13, 1975
MartinezCounty seat	City	Contra Costa	35,824	12.13	31.4	April 1, 1876
MarysvilleCounty seat	City	Yuba	12,072	3.46	9.0	February 5, 1851
Maywood	City	Los Angeles	27,395	1.18	3.1	September 2, 1924
McFarland	City	Kern	12,707	2.67	6.9	July 18, 1957
Mendota	City	Fresno	11,014	3.28	8.5	June 17, 1942
Menifee	City	Riverside	77,519	46.47	120.4	October 1, 2008
Menlo Park	City	San Mateo	32,026	9.79	25.4	November 23, 1927
MercedCounty seat	City	Merced	78,958	23.32	60.4	April 1, 1889
Mill Valley	City	Marin	13,903	4.76	12.3	September 1, 1900
Millbrae	City	San Mateo	21,532	3.25	8.4	January 14, 1948
Milpitas	City	Santa Clara	66,790	13.59	35.2	January 26, 1954
Mission Viejo	City	Orange	93,305	17.74	45.9	March 31, 1988
ModestoCounty seat	City	Stanislaus	201,165	36.87	95.5	August 6, 1884
Monrovia	City	Los Angeles	36,590	13.60	35.2	December 15, 1887
Montague	City	Siskiyou	1,443	1.78	4.6	January 28, 1909
Montclair	City	San Bernardino	36,664	5.52	14.3	April 25, 1956
Monte Sereno	City	Santa Clara	3,341	1.62	4.2	May 14, 1957
Montebello	City	Los Angeles	62,500	8.33	21.6	October 16, 1920
Monterey	City	Monterey	27,810	8.47	21.9	June 14, 1890
Monterey Park	City	Los Angeles	60,269	7.67	19.9	May 29, 1916
Moorpark	City	Ventura	34,421	12.58	32.6	July 1, 1983
Moraga	Town	Contra Costa	16,016	9.43	24.4	November 13, 1974
Moreno Valley	City	Riverside	193,365	51.27	132.8	December 3, 1984
Morgan Hill	City	Santa Clara	37,882	12.88	33.4	November 10, 1906
Morro Bay	City	San Luis Obispo	10,234	5.30	13.7	July 17, 1964
Mount Shasta	City	Siskiyou	3,394	3.77	9.8	May 31, 1905
Mountain View	City	Santa Clara	74,066	12.00	31.1	November 7, 1902
Murrieta	City	Riverside	103,466	33.58	87.0	July 1, 1991
NapaCounty seat	City	Napa	76,915	17.84	46.2	March 23, 1872
National City	City	San Diego	58,582	7.28	18.9	September 17, 1887
Needles	City	San Bernardino	4,844	30.81	79.8	October 30, 1913
Nevada CityCounty seat	City	Nevada	3,068	2.19	5.7	April 19, 1856
Newark	City	Alameda	42,573	13.87	35.9	September 22, 1955
Newman	City	Stanislaus	10,224	2.10	5.4	June 10, 1908
Newport Beach	City	Orange	85,186	23.80	61.6	September 1, 1906
Norco	City	Riverside	27,063	13.96	36.2	December 28, 1964
Norwalk	City	Los Angeles	105,549	9.71	25.1	August 26, 1957
Novato	City	Marin	51,904	27.44	71.1	January 20, 1960
Oakdale	City	Stanislaus	20,675	6.04	15.6	November 24, 1906
OaklandCounty seat	City	Alameda	390,724	55.79	144.5	May 4, 1852
Oakley	City	Contra Costa	35,432	15.85	41.1	July 1, 1999
Oceanside	City	San Diego	167,086	41.23	106.8	July 3, 1888
Ojai	Town	Ventura	7,461	4.39	11.4	August 5, 1921
Ontario	City	San Bernardino	163,924	49.94	129.3	December 10, 1891
Orange	City	Orange	134,616	24.80	64.2	April 6, 1888
Orange Cove	City	Fresno	9,078	1.91	4.9	January 20, 1948
Orinda	City	Contra Costa	17,643	12.68	32.8	July 1, 1985
Orland	City	Glenn	7,291	2.97	7.7	November 11, 1909
OrovilleCounty seat	City	Butte	15,546	12.99	33.6	January 3, 1906
Oxnard	City	Ventura	197,899	26.89	69.6	June 30, 1903
Pacific Grove	City	Monterey	15,041	2.86	7.4	July 5, 1889
Pacifica	City	San Mateo	37,234	12.66	32.8	November 22, 1957
Palm Desert	City	Riverside	48,445	26.81	69.4	November 26, 1973
Palm Springs	City	Riverside	44,552	94.12	243.8	April 20, 1938
Palmdale	City	Los Angeles	152,750	105.96	274.4	August 24, 1962
Palo Alto	City	Santa Clara	64,403	23.88	61.8	April 23, 1894
Palos Verdes Estates	City	Los Angeles	13,438	4.77	12.4	December 20, 1939
Paradise	Town	Butte	26,218	18.31	47.4	November 27, 1979
Paramount	City	Los Angeles	54,098	4.73	12.3	January 30, 1957
Parlier	City	Fresno	14,494	2.19	5.7	November 15, 1921
Pasadena	City	Los Angeles	137,122	22.97	59.5	June 19, 1886
Paso Robles	City	San Luis Obispo	29,793	19.12	49.5	March 11, 1889
Patterson	City	Stanislaus	20,413	5.95	15.4	December 22, 1919
Perris	City	Riverside	68,386	31.39	81.3	May 26, 1911
Petaluma	City	Sonoma	57,941	14.38	37.2	April 12, 1858
Pico Rivera	City	Los Angeles	62,942	8.30	21.5	January 29, 1958
Piedmont	City	Alameda	10,667	1.68	4.4	January 31, 1907
Pinole	City	Contra Costa	18,390	5.32	13.8	June 25, 1903
Pismo Beach	City	San Luis Obispo	7,655	3.60	9.3	April 25, 1946
Pittsburg	City	Contra Costa	63,264	17.22	44.6	June 25, 1903
Placentia	City	Orange	50,533	6.57	17.0	December 2, 1926
PlacervilleCounty seat	City	El Dorado	10,389	5.81	15.0	May 13, 1854
Pleasant Hill	City	Contra Costa	33,152	7.07	18.3	November 14, 1961
Pleasanton	City	Alameda	70,285	24.11	62.4	June 18, 1894
Plymouth	City	Amador	1,005	0.93	2.4	February 8, 1917
Point Arena	City	Mendocino	449	1.35	3.5	July 11, 1908
Pomona	City	Los Angeles	149,058	22.95	59.4	January 6, 1888
Port Hueneme	City	Ventura	21,723	4.45	11.5	March 24, 1948
Porterville	City	Tulare	54,165	17.61	45.6	May 7, 1902
Portola	City	Plumas	2,104	5.41	14.0	May 16, 1946
Portola Valley	Town	San Mateo	4,353	9.09	23.5	July 14, 1964
Poway	City	San Diego	47,811	39.08	101.2	December 1, 1980
Rancho Cordova	City	Sacramento	64,776	33.51	86.8	July 1, 2003
Rancho Cucamonga	City	San Bernardino	165,269	39.85	103.2	November 30, 1977
Rancho Mirage	City	Riverside	17,218	24.45	63.3	August 3, 1973
Rancho Palos Verdes	City	Los Angeles	41,643	13.46	34.9	September 7, 1973
Rancho Santa Margarita	City	Orange	47,853	12.96	33.6	January 1, 2000
Red BluffCounty seat	City	Tehama	14,076	7.56	19.6	March 31, 1876
ReddingCounty seat	City	Shasta	89,861	59.65	154.5	October 4, 1887
Redlands	City	San Bernardino	68,747	36.13	93.6	December 3, 1888
Redondo Beach	City	Los Angeles	66,747	6.20	16.1	April 29, 1892
Redwood CityCounty seat	City	San Mateo	76,815	19.42	50.3	May 11, 1867
Reedley	City	Fresno	24,194	5.08	13.2	February 18, 1913
Rialto	City	San Bernardino	99,171	22.35	57.9	November 17, 1911
Richmond	City	Contra Costa	103,701	30.07	77.9	August 7, 1905
Ridgecrest	City	Kern	27,616	20.77	53.8	November 29, 1963
Rio Dell	City	Humboldt	3,368	2.28	5.9	February 23, 1965
Rio Vista	City	Solano	7,360	6.69	17.3	January 6, 1894
Ripon	City	San Joaquin	14,297	5.30	13.7	November 27, 1945
Riverbank	City	Stanislaus	22,678	4.09	10.6	August 23, 1922
RiversideCounty seat	City	Riverside	303,871	81.14	210.2	October 11, 1883
Rocklin	City	Placer	56,974	19.54	50.6	February 24, 1893
Rohnert Park	City	Sonoma	40,971	7.00	18.1	August 28, 1962
Rolling Hills	City	Los Angeles	1,860	2.99	7.7	January 24, 1957
Rolling Hills Estates	City	Los Angeles	8,067	3.57	9.2	September 18, 1957
Rosemead	City	Los Angeles	53,764	5.16	13.4	August 4, 1959
Roseville	City	Placer	118,788	36.22	93.8	April 10, 1909
Ross	Town	Marin	2,415	1.56	4.0	August 21, 1908
SacramentoCounty seat	City	Sacramento	466,488	97.92	253.6	February 27, 1850
St. Helena	City	Napa	5,814	4.99	12.9	March 24, 1876
SalinasCounty seat	City	Monterey	150,441	23.18	60.0	March 4, 1874
San Anselmo	Town	Marin	12,336	2.68	6.9	April 9, 1907
San BernardinoCounty seat	City	San Bernardino	209,924	59.20	153.3	August 10, 1869
San Bruno	City	San Mateo	41,114	5.48	14.2	December 23, 1914
San Carlos	City	San Mateo	28,406	5.54	14.3	July 8, 1925
San Clemente	City	Orange	63,522	18.71	48.5	February 28, 1928
San DiegoCounty seat	City	San Diego	1,301,617	325.19	842.2	March 27, 1850
San Dimas	City	Los Angeles	33,371	15.04	39.0	August 4, 1960
San Fernando	City	Los Angeles	23,645	2.37	6.1	August 31, 1911
San FranciscoCounty seat	City and county	San Francisco	805,235	46.87	121.4	April 15, 1850[11]
San Gabriel	City	Los Angeles	39,718	4.14	10.7	April 24, 1913
San Jacinto	City	Riverside	44,199	25.72	66.6	April 20, 1888
San Joaquin	City	Fresno	4,001	1.15	3.0	February 14, 1920
San JoseCounty seat	City	Santa Clara	945,942	176.53	457.2	March 27, 1850
San Juan Bautista	City	San Benito	1,862	0.71	1.8	May 4, 1896
San Juan Capistrano	City	Orange	34,593	14.12	36.6	April 19, 1961
San Leandro	City	Alameda	84,950	13.34	34.6	March 21, 1872
San Luis ObispoCounty seat	City	San Luis Obispo	45,119	12.78	33.1	February 16, 1856
San Marcos	City	San Diego	83,781	24.37	63.1	January 28, 1963
San Marino	City	Los Angeles	13,147	3.77	9.8	April 25, 1913
San Mateo	City	San Mateo	97,207	12.13	31.4	September 4, 1894
San Pablo	City	Contra Costa	29,139	2.63	6.8	April 27, 1948
San RafaelCounty seat	City	Marin	57,713	16.47	42.7	February 18, 1874
San Ramon	City	Contra Costa	72,148	18.06	46.8	July 1, 1983
Sand City	City	Monterey	334	0.56	1.5	May 31, 1960
Sanger	City	Fresno	24,270	5.52	14.3	May 9, 1911
Santa AnaCounty seat	City	Orange	324,528	27.27	70.6	June 1, 1886
Santa BarbaraCounty seat	City	Santa Barbara	88,410	19.47	50.4	April 9, 1850
Santa Clara	City	Santa Clara	116,468	18.41	47.7	July 5, 1852
Santa Clarita	City	Los Angeles	176,320	52.72	136.5	December 15, 1987
Santa CruzCounty seat	City	Santa Cruz	59,946	12.74	33.0	March 31, 1866
Santa Fe Springs	City	Los Angeles	16,223	8.87	23.0	May 15, 1957
Santa Maria	City	Santa Barbara	99,553	22.76	58.9	September 12, 1905
Santa Monica	City	Los Angeles	89,736	8.41	21.8	November 30, 1886
Santa Paula	City	Ventura	29,321	4.59	11.9	April 22, 1902
Santa RosaCounty seat	City	Sonoma	167,815	41.29	106.9	March 26, 1868
Santee	City	San Diego	53,413	16.24	42.1	December 1, 1980
Saratoga	City	Santa Clara	29,926	12.38	32.1	October 22, 1956
Sausalito	City	Marin	7,061	1.77	4.6	September 4, 1893
Scotts Valley	City	Santa Cruz	11,580	4.59	11.9	August 2, 1966
Seal Beach	City	Orange	24,168	11.29	29.2	October 27, 1915
Seaside	City	Monterey	33,025	9.24	23.9	October 13, 1954
Sebastopol	City	Sonoma	7,379	1.85	4.8	June 13, 1902
Selma	City	Fresno	23,219	5.14	13.3	March 15, 1893
