name	freq	count	rank
IRMA	0.079	119,929	255
MABEL	0.078	118,411	256
MARSHA	0.078	118,411	257
MYRTLE	0.078	118,411	258
LENA	0.077	116,893	259
CHRISTY	0.077	116,893	260
DEANNA	0.076	115,375	261
PATSY	0.076	115,375	262
HILDA	0.075	113,857	263
GWENDOLYN	0.074	112,339	264
JENNIE	0.073	110,821	265
NORA	0.073	110,821	266
MARGIE	0.072	109,303	267
NINA	0.072	109,303	268
CASSANDRA	0.072	109,303	269
LEAH	0.072	109,303	270
PENNY	0.071	107,784	271
KAY	0.071	107,784	272
PRISCILLA	0.071	107,784	273
NAOMI	0.071	107,784	274
CAROLE	0.071	107,784	275
BRANDY	0.07	106,266	276
OLGA	0.07	106,266	277
BILLIE	0.069	104,748	278
DIANNE	0.069	104,748	279
TRACEY	0.069	104,748	280
LEONA	0.069	104,748	281
JENNY	0.068	103,230	282
FELICIA	0.068	103,230	283
SONIA	0.068	103,230	284
MIRIAM	0.066	100,194	285
VELMA	0.066	100,194	286
BECKY	0.066	100,194	287
BOBBIE	0.065	98,676	288
VIOLET	0.065	98,676	289
KRISTINA	0.065	98,676	290
TONI	0.064	97,158	291
MISTY	0.063	95,640	292
MAE	0.063	95,640	293
SHELLY	0.062	94,122	294
DAISY	0.062	94,122	295
RAMONA	0.062	94,122	296
SHERRI	0.062	94,122	297
ERIKA	0.061	92,604	298
KATRINA	0.061	92,604	299
CLAIRE	0.061	92,604	300
LINDSEY	0.06	91,085	301
LINDSAY	0.06	91,085	302
GENEVA	0.059	89,567	303
GUADALUPE	0.059	89,567	304
BELINDA	0.059	89,567	305
MARGARITA	0.059	89,567	306
SHERYL	0.059	89,567	307
CORA	0.058	88,049	308
FAYE	0.058	88,049	309
ADA	0.057	86,531	310
NATASHA	0.057	86,531	311
SABRINA	0.057	86,531	312
ISABEL	0.057	86,531	313
MARGUERITE	0.056	85,013	314
HATTIE	0.056	85,013	315
HARRIET	0.056	85,013	316
MOLLY	0.055	83,495	317
CECILIA	0.055	83,495	318
KRISTI	0.055	83,495	319
BRANDI	0.055	83,495	320
BLANCHE	0.055	83,495	321
SANDY	0.055	83,495	322
ROSIE	0.055	83,495	323
JOANNA	0.055	83,495	324
IRIS	0.055	83,495	325
EUNICE	0.054	81,977	326
ANGIE	0.054	81,977	327
INEZ	0.053	80,459	328
LYNDA	0.053	80,459	329
MADELINE	0.052	78,941	330
AMELIA	0.052	78,941	331
ALBERTA	0.052	78,941	332
GENEVIEVE	0.051	77,423	333
MONIQUE	0.051	77,423	334
JODI	0.051	77,423	335
JANIE	0.051	77,423	336
MAGGIE	0.051	77,423	337
KAYLA	0.051	77,423	338
SONYA	0.051	77,423	339
JAN	0.051	77,423	340
LEE	0.051	77,423	341
KRISTINE	0.051	77,423	342
CANDACE	0.051	77,423	343
FANNIE	0.05	75,905	344
MARYANN	0.05	75,905	345
OPAL	0.05	75,905	346
ALISON	0.05	75,905	347
YVETTE	0.05	75,905	348
MELODY	0.05	75,905	349
LUZ	0.049	74,386	350
SUSIE	0.049	74,386	351
OLIVIA	0.049	74,386	352
FLORA	0.049	74,386	353
SHELLEY	0.049	74,386	354
KRISTY	0.048	72,868	355
MAMIE	0.048	72,868	356
LULA	0.048	72,868	357
LOLA	0.048	72,868	358
VERNA	0.048	72,868	359
BEULAH	0.048	72,868	360
ANTOINETTE	0.048	72,868	361
CANDICE	0.046	69,832	362
JUANA	0.046	69,832	363
JEANNETTE	0.046	69,832	364
PAM	0.046	69,832	365
KELLI	0.046	69,832	366
HANNAH	0.045	68,314	367
WHITNEY	0.045	68,314	368
BRIDGET	0.045	68,314	369
KARLA	0.044	66,796	370
CELIA	0.044	66,796	371
LATOYA	0.043	65,278	372
PATTY	0.043	65,278	373
SHELIA	0.043	65,278	374
GAYLE	0.043	65,278	375
DELLA	0.043	65,278	376
VICKY	0.043	65,278	377
LYNNE	0.043	65,278	378
SHERI	0.042	63,760	379
MARIANNE	0.042	63,760	380
KARA	0.041	62,242	381
JACQUELYN	0.041	62,242	382
ERMA	0.041	62,242	383
BLANCA	0.041	62,242	384
MYRA	0.04	60,724	385
LETICIA	0.04	60,724	386
PAT	0.04	60,724	387
KRISTA	0.04	60,724	388
ROXANNE	0.04	60,724	389
ANGELICA	0.039	59,206	390
JOHNNIE	0.039	59,206	391
ROBYN	0.039	59,206	392
FRANCIS	0.039	59,206	393
ADRIENNE	0.039	59,206	394
ROSALIE	0.039	59,206	395
ALEXANDRA	0.039	59,206	396
BROOKE	0.039	59,206	397
BETHANY	0.039	59,206	398
SADIE	0.039	59,206	399
BERNADETTE	0.039	59,206	400
TRACI	0.038	57,687	401
JODY	0.038	57,687	402
KENDRA	0.038	57,687	403
JASMINE	0.038	57,687	404
NICHOLE	0.038	57,687	405
RACHAEL	0.038	57,687	406
CHELSEA	0.038	57,687	407
MABLE	0.038	57,687	408
ERNESTINE	0.038	57,687	409
MURIEL	0.038	57,687	410
MARCELLA	0.037	56,169	411
ELENA	0.037	56,169	412
KRYSTAL	0.037	56,169	413
ANGELINA	0.037	56,169	414
NADINE	0.036	54,651	415
KARI	0.036	54,651	416
ESTELLE	0.036	54,651	417
DIANNA	0.036	54,651	418
PAULETTE	0.036	54,651	419
LORA	0.036	54,651	420
MONA	0.035	53,133	421
DOREEN	0.035	53,133	422
ROSEMARIE	0.035	53,133	423
ANGEL	0.035	53,133	424
DESIREE	0.035	53,133	425
ANTONIA	0.035	53,133	426
HOPE	0.034	51,615	427
GINGER	0.034	51,615	428
JANIS	0.034	51,615	429
BETSY	0.034	51,615	430
CHRISTIE	0.034	51,615	431
FREDA	0.034	51,615	432
MERCEDES	0.033	50,097	433
MEREDITH	0.033	50,097	434
LYNETTE	0.033	50,097	435
TERI	0.033	50,097	436
CRISTINA	0.033	50,097	437
EULA	0.033	50,097	438
LEIGH	0.032	48,579	439
MEGHAN	0.032	48,579	440
SOPHIA	0.032	48,579	441
ELOISE	0.032	48,579	442
ROCHELLE	0.032	48,579	443
GRETCHEN	0.032	48,579	444
CECELIA	0.032	48,579	445
RAQUEL	0.031	47,061	446
HENRIETTA	0.031	47,061	447
ALYSSA	0.031	47,061	448
JANA	0.031	47,061	449
KELLEY	0.031	47,061	450
GWEN	0.031	47,061	451
KERRY	0.031	47,061	452
JENNA	0.03	45,543	453
TRICIA	0.03	45,543	454
LAVERNE	0.03	45,543	455
OLIVE	0.03	45,543	456
ALEXIS	0.03	45,543	457
TASHA	0.03	45,543	458
SILVIA	0.029	44,025	459
ELVIRA	0.029	44,025	460
CASEY	0.029	44,025	461
DELIA	0.029	44,025	462
SOPHIE	0.029	44,025	463
KATE	0.029	44,025	464
PATTI	0.029	44,025	465
LORENA	0.029	44,025	466
KELLIE	0.029	44,025	467
SONJA	0.029	44,025	468
LILA	0.029	44,025	469
LANA	0.029	44,025	470
DARLA	0.029	44,025	471
MAY	0.029	44,025	472
MINDY	0.029	44,025	473
ESSIE	0.029	44,025	474
MANDY	0.029	44,025	475
LORENE	0.028	42,507	476
ELSA	0.028	42,507	477
JOSEFINA	0.028	42,507	478
JEANNIE	0.028	42,507	479
MIRANDA	0.028	42,507	480
DIXIE	0.028	42,507	481
LUCIA	0.028	42,507	482
MARTA	0.028	42,507	483
FAITH	0.028	42,507	484
LELA	0.028	42,507	485
JOHANNA	0.028	42,507	486
SHARI	0.028	42,507	487
CAMILLE	0.028	42,507	488
TAMI	0.027	40,988	489
SHAWNA	0.027	40,988	490
ELISA	0.027	40,988	491
EBONY	0.027	40,988	492
MELBA	0.027	40,988	493
ORA	0.027	40,988	494
NETTIE	0.027	40,988	495
TABITHA	0.027	40,988	496
OLLIE	0.027	40,988	497
JAIME	0.027	40,988	498
WINIFRED	0.027	40,988	499
KRISTIE	0.027	40,988	500
MARINA	0.027	40,988	501
ALISHA	0.027	40,988	502
AIMEE	0.027	40,988	503
RENA	0.027	40,988	504
MYRNA	0.026	39,470	505
MARLA	0.026	39,470	506
TAMMIE	0.026	39,470	507
LATASHA	0.026	39,470	508
BONITA	0.026	39,470	509
PATRICE	0.026	39,470	510
RONDA	0.026	39,470	511
SHERRIE	0.026	39,470	512
ADDIE	0.026	39,470	513
FRANCINE	0.025	37,952	514
DELORIS	0.025	37,952	515
STACIE	0.025	37,952	516
ADRIANA	0.025	37,952	517
CHERI	0.025	37,952	518
SHELBY	0.025	37,952	519
ABIGAIL	0.025	37,952	520
CELESTE	0.025	37,952	521
JEWEL	0.025	37,952	522
CARA	0.025	37,952	523
ADELE	0.025	37,952	524
REBEKAH	0.025	37,952	525
LUCINDA	0.025	37,952	526
DORTHY	0.025	37,952	527
CHRIS	0.024	36,434	528
EFFIE	0.024	36,434	529
TRINA	0.024	36,434	530
REBA	0.024	36,434	531
SHAWN	0.024	36,434	532
SALLIE	0.024	36,434	533
AURORA	0.024	36,434	534
LENORA	0.024	36,434	535
ETTA	0.024	36,434	536
LOTTIE	0.024	36,434	537
KERRI	0.024	36,434	538
TRISHA	0.024	36,434	539
NIKKI	0.024	36,434	540
ESTELLA	0.024	36,434	541
FRANCISCA	0.024	36,434	542
JOSIE	0.024	36,434	543
TRACIE	0.024	36,434	544
MARISSA	0.024	36,434	545
KARIN	0.024	36,434	546
BRITTNEY	0.024	36,434	547
JANELLE	0.024	36,434	548
LOURDES	0.024	36,434	549
LAUREL	0.024	36,434	550
HELENE	0.024	36,434	551
FERN	0.024	36,434	552
ELVA	0.024	36,434	553
CORINNE	0.024	36,434	554
KELSEY	0.024	36,434	555
INA	0.023	34,916	556
BETTIE	0.023	34,916	557
ELISABETH	0.023	34,916	558
AIDA	0.023	34,916	559
CAITLIN	0.023	34,916	560
INGRID	0.023	34,916	561
IVA	0.023	34,916	562
EUGENIA	0.023	34,916	563
CHRISTA	0.023	34,916	564
GOLDIE	0.023	34,916	565
CASSIE	0.023	34,916	566
MAUDE	0.023	34,916	567
JENIFER	0.023	34,916	568
THERESE	0.022	33,398	569
FRANKIE	0.022	33,398	570
DENA	0.022	33,398	571
LORNA	0.022	33,398	572
JANETTE	0.022	33,398	573
LATONYA	0.022	33,398	574
CANDY	0.022	33,398	575
MORGAN	0.022	33,398	576
CONSUELO	0.022	33,398	577
TAMIKA	0.022	33,398	578
ROSETTA	0.022	33,398	579
DEBORA	0.022	33,398	580
CHERIE	0.022	33,398	581
POLLY	0.022	33,398	582
DINA	0.022	33,398	583
JEWELL	0.021	31,880	584
FAY	0.021	31,880	585
JILLIAN	0.021	31,880	586
DOROTHEA	0.021	31,880	587
NELL	0.021	31,880	588
TRUDY	0.021	31,880	589
ESPERANZA	0.021	31,880	590
PATRICA	0.021	31,880	591
KIMBERLEY	0.021	31,880	592
SHANNA	0.021	31,880	593
HELENA	0.021	31,880	594
CAROLINA	0.021	31,880	595
CLEO	0.021	31,880	596
STEFANIE	0.021	31,880	597
ROSARIO	0.02	30,362	598
OLA	0.02	30,362	599
JANINE	0.02	30,362	600
MOLLIE	0.02	30,362	601
LUPE	0.02	30,362	602
ALISA	0.02	30,362	603
LOU	0.02	30,362	604
MARIBEL	0.02	30,362	605
SUSANNE	0.02	30,362	606
BETTE	0.019	28,844	607
SUSANA	0.019	28,844	608
ELISE	0.019	28,844	609
CECILE	0.019	28,844	610
ISABELLE	0.019	28,844	611
LESLEY	0.019	28,844	612
JOCELYN	0.019	28,844	613
PAIGE	0.019	28,844	614
JONI	0.019	28,844	615
RACHELLE	0.019	28,844	616
LEOLA	0.019	28,844	617
DAPHNE	0.019	28,844	618
ALTA	0.019	28,844	619
ESTER	0.019	28,844	620
PETRA	0.019	28,844	621
GRACIELA	0.019	28,844	622
IMOGENE	0.019	28,844	623
JOLENE	0.019	28,844	624
KEISHA	0.019	28,844	625
LACEY	0.018	27,326	626
GLENNA	0.018	27,326	627
GABRIELA	0.018	27,326	628
KERI	0.018	27,326	629
URSULA	0.018	27,326	630
LIZZIE	0.018	27,326	631
KIRSTEN	0.018	27,326	632
SHANA	0.018	27,326	633
ADELINE	0.018	27,326	634
MAYRA	0.018	27,326	635
JAYNE	0.018	27,326	636
JACLYN	0.018	27,326	637
GRACIE	0.018	27,326	638
SONDRA	0.018	27,326	639
CARMELA	0.018	27,326	640
MARISA	0.018	27,326	641
ROSALIND	0.018	27,326	642
CHARITY	0.018	27,326	643
TONIA	0.018	27,326	644
BEATRIZ	0.018	27,326	645
MARISOL	0.018	27,326	646
CLARICE	0.018	27,326	647
JEANINE	0.017	25,808	648
SHEENA	0.017	25,808	649
ANGELINE	0.017	25,808	650
FRIEDA	0.017	25,808	651
LILY	0.017	25,808	652
ROBBIE	0.017	25,808	653
SHAUNA	0.017	25,808	654
MILLIE	0.017	25,808	655
CLAUDETTE	0.017	25,808	656
CATHLEEN	0.017	25,808	657
ANGELIA	0.017	25,808	658
GABRIELLE	0.017	25,808	659
AUTUMN	0.017	25,808	660
KATHARINE	0.017	25,808	661
SUMMER	0.017	25,808	662
JODIE	0.017	25,808	663
STACI	0.017	25,808	664
LEA	0.017	25,808	665
CHRISTI	0.017	25,808	666
JIMMIE	0.017	25,808	667
JUSTINE	0.017	25,808	668
ELMA	0.017	25,808	669
LUELLA	0.017	25,808	670
MARGRET	0.017	25,808	671
DOMINIQUE	0.016	24,289	672
SOCORRO	0.016	24,289	673
RENE	0.016	24,289	674
MARTINA	0.016	24,289	675
MARGO	0.016	24,289	676
MAVIS	0.016	24,289	677
CALLIE	0.016	24,289	678
BOBBI	0.016	24,289	679
MARITZA	0.016	24,289	680
LUCILE	0.016	24,289	681
LEANNE	0.016	24,289	682
JEANNINE	0.016	24,289	683
DEANA	0.016	24,289	684
AILEEN	0.016	24,289	685
LORIE	0.016	24,289	686
LADONNA	0.016	24,289	687
WILLA	0.016	24,289	688
MANUELA	0.016	24,289	689
GALE	0.016	24,289	690
SELMA	0.016	24,289	691
DOLLY	0.016	24,289	692
SYBIL	0.016	24,289	693
ABBY	0.016	24,289	694
LARA	0.016	24,289	695
DALE	0.016	24,289	696
IVY	0.016	24,289	697
DEE	0.016	24,289	698
WINNIE	0.016	24,289	699
MARCY	0.016	24,289	700
LUISA	0.016	24,289	701
JERI	0.015	22,771	702
MAGDALENA	0.015	22,771	703
OFELIA	0.015	22,771	704
MEAGAN	0.015	22,771	705
AUDRA	0.015	22,771	706
MATILDA	0.015	22,771	707
LEILA	0.015	22,771	708
CORNELIA	0.015	22,771	709
BIANCA	0.015	22,771	710
SIMONE	0.015	22,771	711
BETTYE	0.015	22,771	712
RANDI	0.015	22,771	713
VIRGIE	0.015	22,771	714
LATISHA	0.015	22,771	715
BARBRA	0.015	22,771	716
GEORGINA	0.015	22,771	717
ELIZA	0.015	22,771	718
LEANN	0.015	22,771	719
BRIDGETTE	0.015	22,771	720
RHODA	0.014	21,253	721
HALEY	0.014	21,253	722
ADELA	0.014	21,253	723
NOLA	0.014	21,253	724
BERNADINE	0.014	21,253	725
FLOSSIE	0.014	21,253	726
ILA	0.014	21,253	727
GRETA	0.014	21,253	728
RUTHIE	0.014	21,253	729
NELDA	0.014	21,253	730
MINERVA	0.014	21,253	731
LILLY	0.014	21,253	732
TERRIE	0.014	21,253	733
LETHA	0.014	21,253	734
HILARY	0.014	21,253	735
ESTELA	0.014	21,253	736
VALARIE	0.014	21,253	737
BRIANNA	0.014	21,253	738
ROSALYN	0.014	21,253	739
EARLINE	0.014	21,253	740
CATALINA	0.014	21,253	741
AVA	0.014	21,253	742
MIA	0.014	21,253	743
CLARISSA	0.014	21,253	744
LIDIA	0.014	21,253	745
CORRINE	0.014	21,253	746
ALEXANDRIA	0.014	21,253	747
CONCEPCION	0.014	21,253	748
TIA	0.014	21,253	749
SHARRON	0.014	21,253	750
RAE	0.014	21,253	751
DONA	0.014	21,253	752
ERICKA	0.014	21,253	753
JAMI	0.014	21,253	754
ELNORA	0.014	21,253	755
CHANDRA	0.014	21,253	756
LENORE	0.014	21,253	757
NEVA	0.013	19,735	758
MARYLOU	0.013	19,735	759
MELISA	0.013	19,735	760
TABATHA	0.013	19,735	761
SERENA	0.013	19,735	762
AVIS	0.013	19,735	763
ALLIE	0.013	19,735	764
SOFIA	0.013	19,735	765
JEANIE	0.013	19,735	766
ODESSA	0.013	19,735	767
NANNIE	0.013	19,735	768
HARRIETT	0.013	19,735	769
LORAINE	0.013	19,735	770
PENELOPE	0.013	19,735	771
MILAGROS	0.013	19,735	772
EMILIA	0.013	19,735	773
BENITA	0.013	19,735	774
ALLYSON	0.013	19,735	775
ASHLEE	0.013	19,735	776
TANIA	0.013	19,735	777
TOMMIE	0.013	19,735	778
ESMERALDA	0.013	19,735	779
KARINA	0.013	19,735	780
EVE	0.013	19,735	781
PEARLIE	0.013	19,735	782
ZELMA	0.013	19,735	783
MALINDA	0.013	19,735	784
NOREEN	0.013	19,735	785
TAMEKA	0.013	19,735	786
SAUNDRA	0.013	19,735	787
HILLARY	0.013	19,735	788
AMIE	0.013	19,735	789
ALTHEA	0.012	18,217	790
ROSALINDA	0.012	18,217	791
JORDAN	0.012	18,217	792
LILIA	0.012	18,217	793
ALANA	0.012	18,217	794
GAY	0.012	18,217	795
CLARE	0.012	18,217	796
ALEJANDRA	0.012	18,217	797
ELINOR	0.012	18,217	798
MICHAEL	0.012	18,217	799
LORRIE	0.012	18,217	800
JERRI	0.012	18,217	801
DARCY	0.012	18,217	802
EARNESTINE	0.012	18,217	803
CARMELLA	0.012	18,217	804
TAYLOR	0.012	18,217	805
NOEMI	0.012	18,217	806
MARCIE	0.012	18,217	807
LIZA	0.012	18,217	808
ANNABELLE	0.012	18,217	809
LOUISA	0.012	18,217	810
EARLENE	0.012	18,217	811
MALLORY	0.012	18,217	812
CARLENE	0.012	18,217	813
NITA	0.012	18,217	814
SELENA	0.012	18,217	815
TANISHA	0.012	18,217	816
KATY	0.012	18,217	817
JULIANNE	0.012	18,217	818
JOHN	0.012	18,217	819
LAKISHA	0.011	16,699	820
EDWINA	0.011	16,699	821
MARICELA	0.011	16,699	822
MARGERY	0.011	16,699	823
KENYA	0.011	16,699	824
DOLLIE	0.011	16,699	825
ROXIE	0.011	16,699	826
ROSLYN	0.011	16,699	827
KATHRINE	0.011	16,699	828
NANETTE	0.011	16,699	829
CHARMAINE	0.011	16,699	830
LAVONNE	0.011	16,699	831
ILENE	0.011	16,699	832
KRIS	0.011	16,699	833
TAMMI	0.011	16,699	834
SUZETTE	0.011	16,699	835
CORINE	0.011	16,699	836
KAYE	0.011	16,699	837
JERRY	0.011	16,699	838
MERLE	0.011	16,699	839
CHRYSTAL	0.011	16,699	840
LINA	0.011	16,699	841
DEANNE	0.011	16,699	842
LILIAN	0.011	16,699	843
JULIANA	0.011	16,699	844
ALINE	0.011	16,699	845
LUANN	0.011	16,699	846
KASEY	0.011	16,699	847
MARYANNE	0.011	16,699	848
EVANGELINE	0.011	16,699	849
COLETTE	0.011	16,699	850
MELVA	0.011	16,699	851
LAWANDA	0.011	16,699	852
YESENIA	0.011	16,699	853
NADIA	0.011	16,699	854
MADGE	0.011	16,699	855
KATHIE	0.011	16,699	856
EDDIE	0.011	16,699	857
OPHELIA	0.011	16,699	858
VALERIA	0.011	16,699	859
NONA	0.011	16,699	860
MITZI	0.011	16,699	861
MARI	0.011	16,699	862
GEORGETTE	0.011	16,699	863
CLAUDINE	0.011	16,699	864
FRAN	0.011	16,699	865
ALISSA	0.011	16,699	866
ROSEANN	0.01	15,181	867
LAKEISHA	0.01	15,181	868
SUSANNA	0.01	15,181	869
REVA	0.01	15,181	870
DEIDRE	0.01	15,181	871
CHASITY	0.01	15,181	872
SHEREE	0.01	15,181	873
CARLY	0.01	15,181	874
JAMES	0.01	15,181	875
ELVIA	0.01	15,181	876
ALYCE	0.01	15,181	877
DEIRDRE	0.01	15,181	878
